ticket_id,customer_id,time_request,time_reply,channel,request,reply,solved,original_request,original_ticket_id
9237-HQITU_T1,9237-HQITU,2024-11-17 13:42:25,2024-11-17 22:41:01,Social Media,Frage zum Vertrag,Problem gelöst,True,False,9237-HQITU_T1
9237-HQITU_T1,9237-HQITU,2024-11-18 22:41:01,2024-11-18 23:45:36,On-site,Problem mit Rechnung,Problem gelöst,True,False,9237-HQITU_T1
9237-HQITU_T2,9237-HQITU,2024-12-05 00:00:00,2024-12-05 10:54:57,On-site,Technische Störung,Weitere Informationen benötigt,False,True,
9237-HQITU_T2,9237-HQITU,2024-12-06 10:54:57,2024-12-06 23:27:42,On-site,Technische Störung,Anfrage wird bearbeitet,False,False,9237-HQITU_T2
9237-HQITU_T2,9237-HQITU,2024-12-07 23:27:42,2024-12-07 23:31:51,Chat,Frage zum Vertrag,Problem gelöst,True,False,9237-HQITU_T2
9305-CDSKC_T1,9305-CDSKC,2024-07-24 00:00:00,2024-07-24 10:32:15,Hotline,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,True,
1452-KIOVK_T1,1452-KIOVK,2023-03-09 00:00:00,2023-03-09 03:44:22,Hotline,Technische Störung,Problem gelöst,True,True,
1452-KIOVK_T1,1452-KIOVK,2023-03-10 03:44:22,2023-03-10 20:23:15,Hotline,Problem mit Rechnung,Ticket geschlossen,True,False,1452-KIOVK_T1
1452-KIOVK_T1,1452-KIOVK,2023-03-11 20:23:15,2023-03-11 23:00:57,Hotline,Internet funktioniert nicht,Problem gelöst,True,False,1452-KIOVK_T1
6713-OKOMC_T1,6713-OKOMC,2024-12-11 00:00:00,2024-12-12 19:47:09,Hotline,Internet funktioniert nicht,Weitere Informationen benötigt,False,True,
6713-OKOMC_T1,6713-OKOMC,2024-12-13 19:47:09,2024-12-13 21:36:07,On-site,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,False,6713-OKOMC_T1
6713-OKOMC_T2,6713-OKOMC,2024-05-20 00:00:00,2024-05-20 14:55:40,Email,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,True,
6713-OKOMC_T2,6713-OKOMC,2024-05-20 14:55:40,2024-05-21 11:19:52,Hotline,Internet funktioniert nicht,Problem gelöst,True,False,6713-OKOMC_T2
7892-POOKP_T1,7892-POOKP,2023-03-16 00:00:00,2023-03-17 10:17:55,Email,Frage zum Vertrag,Ticket geschlossen,True,True,
7892-POOKP_T1,7892-POOKP,2023-03-18 10:17:55,2023-03-19 00:07:56,On-site,Internet funktioniert nicht,Ticket geschlossen,True,False,7892-POOKP_T1
7892-POOKP_T1,7892-POOKP,2023-03-19 00:07:56,2023-03-19 22:51:09,Chat,Frage zum Vertrag,Ticket geschlossen,True,False,7892-POOKP_T1
7892-POOKP_T2,7892-POOKP,2024-05-12 00:00:00,2024-05-12 15:01:28,Social Media,Internet funktioniert nicht,Ticket geschlossen,True,True,
7892-POOKP_T2,7892-POOKP,2024-05-12 15:01:28,2024-05-13 00:33:59,Social Media,Internet funktioniert nicht,Ticket geschlossen,True,False,7892-POOKP_T2
6388-TABGU_T1,6388-TABGU,2020-03-22 00:00:00,2020-03-23 19:20:42,Email,Frage zum Vertrag,Ticket geschlossen,True,True,
6388-TABGU_T1,6388-TABGU,2020-03-24 19:20:42,2020-03-25 12:44:18,Social Media,Internet funktioniert nicht,Weitere Informationen benötigt,False,False,6388-TABGU_T1
7469-LKBCI_T1,7469-LKBCI,2024-08-05 00:00:00,2024-08-06 21:47:57,Hotline,Technische Störung,Ticket geschlossen,True,True,
7469-LKBCI_T1,7469-LKBCI,2024-08-07 21:47:57,2024-08-07 23:29:26,On-site,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,7469-LKBCI_T1
7469-LKBCI_T2,7469-LKBCI,2024-07-06 00:00:00,2024-07-07 14:28:28,Hotline,Technische Störung,Anfrage wird bearbeitet,False,True,
7469-LKBCI_T2,7469-LKBCI,2024-07-07 14:28:28,2024-07-07 18:03:27,Social Media,Technische Störung,Ticket geschlossen,True,False,7469-LKBCI_T2
7469-LKBCI_T2,7469-LKBCI,2024-07-07 18:03:27,2024-07-07 21:52:58,Hotline,Internet funktioniert nicht,Weitere Informationen benötigt,False,False,7469-LKBCI_T2
7469-LKBCI_T3,7469-LKBCI,2023-09-23 00:00:00,2023-09-23 18:17:57,Social Media,Problem mit Rechnung,Anfrage wird bearbeitet,False,True,
7469-LKBCI_T4,7469-LKBCI,2024-11-26 00:00:00,2024-11-26 14:58:48,Chat,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,True,
7469-LKBCI_T4,7469-LKBCI,2024-11-26 14:58:48,2024-11-26 22:48:55,Email,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,False,7469-LKBCI_T4
8091-TTVAX_T1,8091-TTVAX,2024-09-01 00:00:00,2024-09-02 01:35:15,Email,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,True,
8091-TTVAX_T2,8091-TTVAX,2023-11-27 00:00:00,2023-11-28 14:39:52,Social Media,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,True,
8091-TTVAX_T2,8091-TTVAX,2023-11-28 14:39:52,2023-11-29 14:16:48,Hotline,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,8091-TTVAX_T2
0280-XJGEX_T1,0280-XJGEX,2022-04-03 00:00:00,2022-04-04 14:04:45,On-site,Internet funktioniert nicht,Ticket geschlossen,True,True,
0280-XJGEX_T1,0280-XJGEX,2022-04-05 14:04:45,2022-04-06 17:05:08,Hotline,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,0280-XJGEX_T1
0280-XJGEX_T1,0280-XJGEX,2022-04-06 17:05:08,2022-04-06 18:40:12,Chat,Beschwerde über Kundenservice,Ticket geschlossen,True,False,0280-XJGEX_T1
5129-JLPIS_T1,5129-JLPIS,2024-03-21 00:00:00,2024-03-22 01:13:53,Chat,Beschwerde über Kundenservice,Problem gelöst,True,True,
5129-JLPIS_T1,5129-JLPIS,2024-03-23 01:13:53,2024-03-24 00:22:19,Chat,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,False,5129-JLPIS_T1
5129-JLPIS_T1,5129-JLPIS,2024-03-25 00:22:19,2024-03-25 11:18:33,Chat,Beschwerde über Kundenservice,Problem gelöst,True,False,5129-JLPIS_T1
5129-JLPIS_T2,5129-JLPIS,2023-11-09 00:00:00,2023-11-10 23:10:53,Chat,Internet funktioniert nicht,Problem gelöst,True,True,
5129-JLPIS_T2,5129-JLPIS,2023-11-11 23:10:53,2023-11-11 23:17:36,Chat,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,5129-JLPIS_T2
5129-JLPIS_T3,5129-JLPIS,2023-01-20 00:00:00,2023-01-21 12:20:13,Chat,Frage zum Vertrag,Ticket geschlossen,True,True,
3655-SNQYZ_T1,3655-SNQYZ,2022-05-13 00:00:00,2022-05-14 08:53:05,Chat,Problem mit Rechnung,Problem gelöst,True,True,
3655-SNQYZ_T1,3655-SNQYZ,2022-05-15 08:53:05,2022-05-15 21:43:12,Email,Problem mit Rechnung,Problem gelöst,True,False,3655-SNQYZ_T1
3655-SNQYZ_T2,3655-SNQYZ,2021-06-24 00:00:00,2021-06-24 23:37:19,Hotline,Internet funktioniert nicht,Weitere Informationen benötigt,False,True,
8191-XWSZG_T1,8191-XWSZG,2024-06-02 00:00:00,2024-06-02 21:32:00,Hotline,Beschwerde über Kundenservice,Ticket geschlossen,True,True,
8191-XWSZG_T1,8191-XWSZG,2024-06-03 21:32:00,2024-06-03 23:54:43,Social Media,Problem mit Rechnung,Weitere Informationen benötigt,False,False,8191-XWSZG_T1
8191-XWSZG_T2,8191-XWSZG,2021-04-09 00:00:00,2021-04-09 12:21:28,Social Media,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,True,
8191-XWSZG_T2,8191-XWSZG,2021-04-09 12:21:28,2021-04-09 17:46:43,Email,Frage zum Vertrag,Problem gelöst,True,False,8191-XWSZG_T2
8191-XWSZG_T3,8191-XWSZG,2020-11-23 00:00:00,2020-11-24 17:27:42,On-site,Problem mit Rechnung,Ticket geschlossen,True,True,
8191-XWSZG_T3,8191-XWSZG,2020-11-24 17:27:42,2020-11-25 15:06:27,On-site,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,False,8191-XWSZG_T3
8191-XWSZG_T3,8191-XWSZG,2020-11-26 15:06:27,2020-11-26 22:47:12,Social Media,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,8191-XWSZG_T3
8191-XWSZG_T4,8191-XWSZG,2023-02-09 00:00:00,2023-02-10 10:54:15,Email,Frage zum Vertrag,Anfrage wird bearbeitet,False,True,
8191-XWSZG_T4,8191-XWSZG,2023-02-10 10:54:15,2023-02-11 18:39:42,Chat,Frage zum Vertrag,Problem gelöst,True,False,8191-XWSZG_T4
8191-XWSZG_T5,8191-XWSZG,2022-06-27 00:00:00,2022-06-27 18:45:04,Hotline,Frage zum Vertrag,Ticket geschlossen,True,True,
8191-XWSZG_T5,8191-XWSZG,2022-06-28 18:45:04,2022-06-29 19:44:56,On-site,Technische Störung,Problem gelöst,True,False,8191-XWSZG_T5
8191-XWSZG_T6,8191-XWSZG,2021-09-26 00:00:00,2021-09-26 09:47:15,Chat,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,True,
8191-XWSZG_T6,8191-XWSZG,2021-09-27 09:47:15,2021-09-28 14:50:01,Email,Frage zum Vertrag,Weitere Informationen benötigt,False,False,8191-XWSZG_T6
8191-XWSZG_T6,8191-XWSZG,2021-09-29 14:50:01,2021-09-29 18:37:14,Social Media,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,8191-XWSZG_T6
9959-WOFKT_T1,9959-WOFKT,2022-12-09 00:00:00,2022-12-10 23:35:21,On-site,Beschwerde über Kundenservice,Ticket geschlossen,True,True,
9959-WOFKT_T1,9959-WOFKT,2022-12-11 23:35:21,2022-12-12 07:07:46,Hotline,Frage zum Vertrag,Problem gelöst,True,False,9959-WOFKT_T1
9959-WOFKT_T1,9959-WOFKT,2022-12-12 07:07:46,2022-12-12 12:04:06,Chat,Frage zum Vertrag,Ticket geschlossen,True,False,9959-WOFKT_T1
4190-MFLUW_T1,4190-MFLUW,2024-06-07 00:00:00,2024-06-08 07:23:11,On-site,Problem mit Rechnung,Weitere Informationen benötigt,False,True,
4183-MYFRB_T1,4183-MYFRB,2023-05-16 00:00:00,2023-05-16 21:08:49,On-site,Internet funktioniert nicht,Anfrage wird bearbeitet,False,True,
4183-MYFRB_T1,4183-MYFRB,2023-05-16 21:08:49,2023-05-16 23:27:11,On-site,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,False,4183-MYFRB_T1
4183-MYFRB_T2,4183-MYFRB,2024-03-13 00:00:00,2024-03-13 02:52:14,On-site,Beschwerde über Kundenservice,Problem gelöst,True,True,
4183-MYFRB_T2,4183-MYFRB,2024-03-13 02:52:14,2024-03-14 15:04:36,Email,Internet funktioniert nicht,Weitere Informationen benötigt,False,False,4183-MYFRB_T2
8779-QRDMV_T1,8779-QRDMV,2024-12-19 00:00:00,2024-12-19 10:02:10,Email,Technische Störung,Anfrage wird bearbeitet,False,True,
8779-QRDMV_T1,8779-QRDMV,2024-12-19 10:02:10,2024-12-20 14:58:28,On-site,Technische Störung,Anfrage wird bearbeitet,False,False,8779-QRDMV_T1
8779-QRDMV_T1,8779-QRDMV,2024-12-21 14:58:28,2024-12-21 21:31:24,Email,Internet funktioniert nicht,Weitere Informationen benötigt,False,False,8779-QRDMV_T1
8779-QRDMV_T2,8779-QRDMV,2024-12-05 00:00:00,2024-12-05 09:43:59,Hotline,Technische Störung,Problem gelöst,True,True,
8779-QRDMV_T2,8779-QRDMV,2024-12-05 09:43:59,2024-12-05 18:10:11,Chat,Technische Störung,Anfrage wird bearbeitet,False,False,8779-QRDMV_T2
1680-VDCWW_T1,1680-VDCWW,2024-01-16 00:00:00,2024-01-16 11:29:22,On-site,Beschwerde über Kundenservice,Problem gelöst,True,True,
1680-VDCWW_T1,1680-VDCWW,2024-01-16 11:29:22,2024-01-17 20:37:42,Hotline,Beschwerde über Kundenservice,Problem gelöst,True,False,1680-VDCWW_T1
1066-JKSGK_T1,1066-JKSGK,2024-12-14 00:00:00,2024-12-14 10:40:16,Hotline,Problem mit Rechnung,Problem gelöst,True,True,
1066-JKSGK_T1,1066-JKSGK,2024-12-14 10:40:16,2024-12-15 19:47:52,Social Media,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,1066-JKSGK_T1
1066-JKSGK_T1,1066-JKSGK,2024-12-15 19:47:52,2024-12-16 22:19:44,Chat,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,1066-JKSGK_T1
1066-JKSGK_T2,1066-JKSGK,2024-12-05 00:00:00,2024-12-05 16:43:46,On-site,Technische Störung,Ticket geschlossen,True,True,
1066-JKSGK_T2,1066-JKSGK,2024-12-05 16:43:46,2024-12-05 19:48:47,Social Media,Technische Störung,Problem gelöst,True,False,1066-JKSGK_T2
1066-JKSGK_T3,1066-JKSGK,2024-12-17 00:00:00,2024-12-17 07:22:42,Chat,Technische Störung,Anfrage wird bearbeitet,False,True,
1066-JKSGK_T3,1066-JKSGK,2024-12-18 07:22:42,2024-12-18 19:02:02,Chat,Beschwerde über Kundenservice,Problem gelöst,True,False,1066-JKSGK_T3
1066-JKSGK_T3,1066-JKSGK,2024-12-19 19:02:02,2024-12-20 13:21:20,Email,Internet funktioniert nicht,Ticket geschlossen,True,False,1066-JKSGK_T3
3638-WEABW_T1,3638-WEABW,2024-01-19 00:00:00,2024-01-20 09:42:25,Social Media,Problem mit Rechnung,Anfrage wird bearbeitet,False,True,
3638-WEABW_T1,3638-WEABW,2024-01-20 09:42:25,2024-01-21 08:20:07,Chat,Technische Störung,Problem gelöst,True,False,3638-WEABW_T1
3638-WEABW_T2,3638-WEABW,2023-03-16 00:00:00,2023-03-17 13:03:12,Social Media,Frage zum Vertrag,Anfrage wird bearbeitet,False,True,
3638-WEABW_T2,3638-WEABW,2023-03-18 13:03:12,2023-03-18 17:45:32,On-site,Technische Störung,Weitere Informationen benötigt,False,False,3638-WEABW_T2
3638-WEABW_T2,3638-WEABW,2023-03-19 17:45:32,2023-03-20 22:31:07,Email,Technische Störung,Weitere Informationen benötigt,False,False,3638-WEABW_T2
3638-WEABW_T3,3638-WEABW,2021-01-18 00:00:00,2021-01-19 17:00:35,Chat,Problem mit Rechnung,Weitere Informationen benötigt,False,True,
3638-WEABW_T3,3638-WEABW,2021-01-19 17:00:35,2021-01-20 03:41:53,Hotline,Beschwerde über Kundenservice,Ticket geschlossen,True,False,3638-WEABW_T3
3638-WEABW_T3,3638-WEABW,2021-01-21 03:41:53,2021-01-22 15:30:15,Chat,Technische Störung,Weitere Informationen benötigt,False,False,3638-WEABW_T3
3638-WEABW_T4,3638-WEABW,2021-03-25 00:00:00,2021-03-25 03:32:30,On-site,Beschwerde über Kundenservice,Ticket geschlossen,True,True,
3638-WEABW_T4,3638-WEABW,2021-03-26 03:32:30,2021-03-26 14:50:22,On-site,Technische Störung,Anfrage wird bearbeitet,False,False,3638-WEABW_T4
6322-HRPFA_T1,6322-HRPFA,2023-06-02 00:00:00,2023-06-03 11:21:35,Social Media,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,True,
6865-JZNKO_T1,6865-JZNKO,2024-12-06 00:00:00,2024-12-06 09:41:40,Social Media,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,True,
6865-JZNKO_T1,6865-JZNKO,2024-12-07 09:41:40,2024-12-07 16:29:12,Chat,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,False,6865-JZNKO_T1
6865-JZNKO_T2,6865-JZNKO,2024-09-18 00:00:00,2024-09-18 19:02:03,Email,Internet funktioniert nicht,Ticket geschlossen,True,True,
6865-JZNKO_T2,6865-JZNKO,2024-09-18 19:02:03,2024-09-19 03:33:58,Chat,Problem mit Rechnung,Weitere Informationen benötigt,False,False,6865-JZNKO_T2
6865-JZNKO_T2,6865-JZNKO,2024-09-20 03:33:58,2024-09-20 07:17:25,Chat,Frage zum Vertrag,Ticket geschlossen,True,False,6865-JZNKO_T2
6865-JZNKO_T3,6865-JZNKO,2024-06-08 00:00:00,2024-06-09 20:05:54,On-site,Technische Störung,Anfrage wird bearbeitet,False,True,
6865-JZNKO_T3,6865-JZNKO,2024-06-10 20:05:54,2024-06-11 17:02:39,Email,Internet funktioniert nicht,Ticket geschlossen,True,False,6865-JZNKO_T3
6865-JZNKO_T3,6865-JZNKO,2024-06-11 17:02:39,2024-06-11 21:59:39,Email,Problem mit Rechnung,Anfrage wird bearbeitet,False,False,6865-JZNKO_T3
6467-CHFZW_T1,6467-CHFZW,2024-12-22 00:00:00,2024-12-23 00:02:20,Email,Frage zum Vertrag,Ticket geschlossen,True,True,
8665-UTDHZ_T1,8665-UTDHZ,2024-12-27 00:00:00,2024-12-27 09:53:27,Social Media,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,True,
8665-UTDHZ_T1,8665-UTDHZ,2024-12-27 09:53:27,2024-12-27 12:19:42,Social Media,Beschwerde über Kundenservice,Weitere Informationen benötigt,False,False,8665-UTDHZ_T1
8665-UTDHZ_T2,8665-UTDHZ,2024-12-09 00:00:00,2024-12-09 17:47:23,On-site,Beschwerde über Kundenservice,Ticket geschlossen,True,True,
8665-UTDHZ_T2,8665-UTDHZ,2024-12-09 17:47:23,2024-12-10 09:43:34,Hotline,Problem mit Rechnung,Anfrage wird bearbeitet,False,False,8665-UTDHZ_T2
8665-UTDHZ_T3,8665-UTDHZ,2024-12-19 00:00:00,2024-12-20 22:16:29,On-site,Internet funktioniert nicht,Anfrage wird bearbeitet,False,True,
8665-UTDHZ_T3,8665-UTDHZ,2024-12-21 22:16:29,2024-12-21 23:32:40,Chat,Technische Störung,Ticket geschlossen,True,False,8665-UTDHZ_T3
8665-UTDHZ_T4,8665-UTDHZ,2024-12-18 00:00:00,2024-12-19 00:53:42,Chat,Frage zum Vertrag,Problem gelöst,True,True,
8665-UTDHZ_T4,8665-UTDHZ,2024-12-19 00:53:42,2024-12-20 09:49:51,Hotline,Technische Störung,Ticket geschlossen,True,False,8665-UTDHZ_T4
8665-UTDHZ_T4,8665-UTDHZ,2024-12-20 09:49:51,2024-12-20 22:08:01,On-site,Internet funktioniert nicht,Problem gelöst,True,False,8665-UTDHZ_T4
5248-YGIJN_T1,5248-YGIJN,2019-06-10 00:00:00,2019-06-11 14:02:37,On-site,Internet funktioniert nicht,Problem gelöst,True,True,
5248-YGIJN_T1,5248-YGIJN,2019-06-12 14:02:37,2019-06-13 23:26:11,Hotline,Internet funktioniert nicht,Ticket geschlossen,True,False,5248-YGIJN_T1
5248-YGIJN_T1,5248-YGIJN,2019-06-14 23:26:11,2019-06-14 23:35:57,Chat,Frage zum Vertrag,Ticket geschlossen,True,False,5248-YGIJN_T1
5248-YGIJN_T2,5248-YGIJN,2024-04-01 00:00:00,2024-04-01 06:07:29,Hotline,Beschwerde über Kundenservice,Ticket geschlossen,True,True,
5248-YGIJN_T3,5248-YGIJN,2023-06-04 00:00:00,2023-06-04 10:37:43,Social Media,Problem mit Rechnung,Anfrage wird bearbeitet,False,True,
5248-YGIJN_T4,5248-YGIJN,2021-12-08 00:00:00,2021-12-09 20:23:06,Hotline,Beschwerde über Kundenservice,Problem gelöst,True,True,
5248-YGIJN_T4,5248-YGIJN,2021-12-10 20:23:06,2021-12-10 21:40:21,Chat,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,5248-YGIJN_T4
8773-HHUOZ_T1,8773-HHUOZ,2023-12-21 00:00:00,2023-12-21 02:21:17,On-site,Beschwerde über Kundenservice,Problem gelöst,True,True,
8773-HHUOZ_T2,8773-HHUOZ,2024-03-27 00:00:00,2024-03-27 15:09:00,Chat,Frage zum Vertrag,Anfrage wird bearbeitet,False,True,
6827-IEAUQ_T1,6827-IEAUQ,2024-10-29 00:00:00,2024-10-29 16:06:19,Email,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,True,
6827-IEAUQ_T1,6827-IEAUQ,2024-10-30 16:06:19,2024-10-30 23:23:18,On-site,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,6827-IEAUQ_T1
6827-IEAUQ_T1,6827-IEAUQ,2024-10-31 23:23:18,2024-10-31 23:49:03,Email,Frage zum Vertrag,Ticket geschlossen,True,False,6827-IEAUQ_T1
6827-IEAUQ_T2,6827-IEAUQ,2023-11-11 00:00:00,2023-11-12 06:07:54,Chat,Problem mit Rechnung,Weitere Informationen benötigt,False,True,
7310-EGVHZ_T1,7310-EGVHZ,2024-12-01 00:00:00,2024-12-01 13:08:33,Hotline,Internet funktioniert nicht,Weitere Informationen benötigt,False,True,
7310-EGVHZ_T1,7310-EGVHZ,2024-12-01 13:08:33,2024-12-01 18:04:25,Hotline,Frage zum Vertrag,Weitere Informationen benötigt,False,False,7310-EGVHZ_T1
7310-EGVHZ_T1,7310-EGVHZ,2024-12-01 18:04:25,2024-12-02 04:08:34,On-site,Internet funktioniert nicht,Problem gelöst,True,False,7310-EGVHZ_T1
7310-EGVHZ_T2,7310-EGVHZ,2024-12-01 00:00:00,2024-12-01 01:32:27,On-site,Internet funktioniert nicht,Ticket geschlossen,True,True,
7310-EGVHZ_T2,7310-EGVHZ,2024-12-01 01:32:27,2024-12-01 12:12:09,Email,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,7310-EGVHZ_T2
7310-EGVHZ_T2,7310-EGVHZ,2024-12-01 12:12:09,2024-12-01 21:52:20,Chat,Frage zum Vertrag,Problem gelöst,True,False,7310-EGVHZ_T2
3413-BMNZE_T1,3413-BMNZE,2024-12-14 00:00:00,2024-12-14 19:59:07,On-site,Beschwerde über Kundenservice,Problem gelöst,True,True,
3413-BMNZE_T1,3413-BMNZE,2024-12-14 19:59:07,2024-12-15 12:27:43,Email,Beschwerde über Kundenservice,Anfrage wird bearbeitet,False,False,3413-BMNZE_T1
3413-BMNZE_T2,3413-BMNZE,2024-12-05 00:00:00,2024-12-06 19:09:04,Hotline,Frage zum Vertrag,Ticket geschlossen,True,True,
6234-RAAPL_T1,6234-RAAPL,2024-12-12 00:00:00,2024-12-13 14:32:38,Chat,Problem mit Rechnung,Problem gelöst,True,True,
6234-RAAPL_T1,6234-RAAPL,2024-12-13 14:32:38,2024-12-14 14:56:14,Chat,Frage zum Vertrag,Anfrage wird bearbeitet,False,False,6234-RAAPL_T1
6047-YHPVI_T1,6047-YHPVI,2024-11-14 00:00:00,2024-11-14 12:22:46,Chat,Frage zum Vertrag,Ticket geschlossen,True,True,
6047-YHPVI_T1,6047-YHPVI,2024-11-15 12:22:46,2024-11-15 22:00:47,Email,Problem mit Rechnung,Problem gelöst,True,False,6047-YHPVI_T1
6047-YHPVI_T2,6047-YHPVI,2024-11-18 00:00:00,2024-11-18 14:34:03,Hotline,Technische Störung,Problem gelöst,True,True,
6047-YHPVI_T3,6047-YHPVI,2024-12-21 00:00:00,2024-12-22 21:07:26,On-site,Beschwerde über Kundenservice,Problem gelöst,True,True,
6047-YHPVI_T3,6047-YHPVI,2024-12-23 21:07:26,2024-12-24 11:06:36,Social Media,Internet funktioniert nicht,Weitere Informationen benötigt,False,False,6047-YHPVI_T3
6047-YHPVI_T3,6047-YHPVI,2024-12-25 11:06:36,2024-12-25 14:04:48,On-site,Technische Störung,Ticket geschlossen,True,False,6047-YHPVI_T3
6047-YHPVI_T4,6047-YHPVI,2024-10-10 00:00:00,2024-10-10 16:37:24,Social Media,Technische Störung,Problem gelöst,True,True,
6047-YHPVI_T5,6047-YHPVI,2024-10-07 00:00:00,2024-10-07 07:34:07,On-site,Frage zum Vertrag,Ticket geschlossen,True,True,
6047-YHPVI_T5,6047-YHPVI,2024-10-08 07:34:07,2024-10-08 11:52:15,Hotline,Technische Störung,Anfrage wird bearbeitet,False,False,6047-YHPVI_T5
6047-YHPVI_T5,6047-YHPVI,2024-10-08 11:52:15,2024-10-08 13:25:44,Email,Technische Störung,Weitere Informationen benötigt,False,False,6047-YHPVI_T5
6572-ADKRS_T1,6572-ADKRS,2023-07-07 00:00:00,2023-07-08 10:10:23,On-site,Frage zum Vertrag,Problem gelöst,True,True,
6572-ADKRS_T1,6572-ADKRS,2023-07-08 10:10:23,2023-07-08 14:02:19,Social Media,Problem mit Rechnung,Problem gelöst,True,False,6572-ADKRS_T1
6572-ADKRS_T2,6572-ADKRS,2023-08-24 00:00:00,2023-08-25 15:38:28,Chat,Frage zum Vertrag,Weitere Informationen benötigt,False,True,
